aitem_id,tag
255,Footwear
255,Women's Footwear
255,Casual Shoes
256,Sports & Fitness
256,Other Sports
256,Golf
257,Sports & Fitness
257,Other Sports
257,Golf
258,Sports & Fitness
258,Other Sports
258,Golf
259,Sports & Fitness
259,Other Sports
259,Golf
260,Clothing
260,Men's Clothing
260,Accessories & Combo Sets
261,Home Furnishing
261,Living Room Furnishing
261,Diwan Sets
262,Clothing
262,Women's Clothing
262,"Lingerie, Sleep & Swimwear"
263,Pens & Stationery
263,Office Supplies
263,Boards & Dusters
264,Clothing
264,Men's Clothing
264,Accessories & Combo Sets
265,Home Furnishing
265,Living Room Furnishing
265,Diwan Sets
266,Home Furnishing
266,Living Room Furnishing
266,Diwan Sets
267,Sports & Fitness
267,Other Sports
267,Skating
268,Clothing
268,Kids' Clothing
268,Girls Wear
269,Clothing
269,Women's Clothing
269,Ethnic Wear
270,Mobiles & Accessories
270,Mobile Accessories
270,Mobile Pouches
271,Toys & School Supplies
271,Musical Instruments & Toys
271,A R ENTERPRISES Musical Instruments & Toys
272,Home Furnishing
272,Living Room Furnishing
272,Diwan Sets
273,Footwear
273,Men's Footwear
273,Casual Shoes
274,Footwear
274,Men's Footwear
274,Casual Shoes
275,Home Furnishing
275,Bed Linen
275,Duvet Covers
276,Mobiles & Accessories
276,Mobile Accessories
276,Mobile Pouches
277,Jewellery
277,"Bangles, Bracelets & Armlets"
277,Bracelets
278,Jewellery
278,"Bangles, Bracelets & Armlets"
278,Bracelets
279,Sports & Fitness
279,Other Sports
279,Skating
280,Jewellery
280,"Bangles, Bracelets & Armlets"
280,Bracelets
281,Toys & School Supplies
281,Musical Instruments & Toys
281,Bento Musical Instruments & Toys
282,Clothing
282,Men's Clothing
282,Winter & Seasonal Wear
283,Jewellery
283,"Bangles, Bracelets & Armlets"
283,Bracelets
284,Cellbazaar Blackberry 8520 WHITE LCD LCD (YIT-562)
285,Dressberry Gold Synthetic  Clutch
286,Mast & Harbour Black Synthetic  Clutch
287,Footwear
287,Men's Footwear
287,Sports Shoes
288,Sisel Printed Poly Cotton Women's Stole
289,Footwear
289,Men's Footwear
289,Sports Shoes
290,"Knight Ace Kraasa Sports Running Shoes, Cycling ..."
291,Dressberry Gold Synthetic  Clutch
292,Clothing
292,Women's Clothing
292,Accessories
293,Indistar Self Design Viscose Women's Stole
294,Mast & Harbour Black Synthetic  Clutch
295,Glacier Running Shoes
296,Dressberry Black Synthetic  Clutch
297,"Bags, Wallets & Belts"
297,Wallets & Clutches
297,Clutches
298,Asics Gel-Cumulus 17 Running Shoes
299,Dressberry Black Synthetic  Clutch
300,Mast & Harbour Gold Synthetic  Clutch
301,Asics Gel-Kayano 22 Running Shoes
302,Indistar Self Design Viscose Women's Stole
303,Dressberry Orange Synthetic  Clutch
304,Dressberry Gold Synthetic  Clutch
305,Dressberry Green Synthetic  Clutch
306,"Bags, Wallets & Belts"
306,Wallets & Clutches
306,Clutches
307,Escan Lace Up
308,Nine Maternity Wear Women's Fit and Flare Dress
309,"Bags, Wallets & Belts"
309,Wallets & Clutches
309,Clutches
310,Home Furnishing
310,Curtains & Accessories
310,Curtains
311,Clothing
311,Men's Clothing
311,Winter & Seasonal Wear
312,Sports & Fitness
312,Team Sports
312,Cricket
313,Sports & Fitness
313,Team Sports
313,Cricket
314,Food & Nutrition
314,Health & Nutrition
314,Protein Supplements
315,Home Decor & Festive Needs
315,Candles & Fragrances
315,Home Fragrances
316,Clothing
316,Women's Clothing
316,Western Wear
317,Clothing
317,Women's Clothing
317,Western Wear
318,Clothing
318,Women's Clothing
318,Western Wear
319,Jewellery
319,Rings
320,Jewellery
320,Rings
321,Jewellery
321,Rings
322,Home Furnishing
322,Curtains & Accessories
322,Curtain Accessories
